,Equity Name,Trade,Entry Time,Entry Price,Exit Time,Exit Price,Quantity,Position Size,PNL,% PNL,Holding Days,Exit Type
0,TSLA,Closed,2010-01-25,7.25,166,9.91,13826.0,100273.066,36777.16,36.677,-14634.0,Take Profit
1,TSLA,Closed,2010-01-26,7.36,170,10.35,13595.0,99991.225,40649.05,40.653,-14635.0,Take Profit
2,TSLA,Closed,2010-01-27,7.42,183,10.67,13536.0,100495.134,43992.0,43.775,-14636.0,Take Profit
3,TSLA,Closed,2010-01-28,7.12,181,10.51,13663.0,97246.4,46317.57,47.629,-14637.0,Take Profit
4,TSLA,Closed,2010-02-24,7.17,62,9.31,14125.0,101225.81,30227.5,29.861,-14664.0,Take Profit
5,TSLA,Closed,2010-04-06,8.56,181,10.53,11754.0,100555.474,23155.38,23.027,-14705.0,Take Profit
6,TSLA,Closed,2010-04-16,8.84,181,10.5,11264.0,99525.486,18698.24,18.787,-14715.0,Take Profit
7,TSLA,Closed,2010-04-20,8.74,183,10.67,11265.0,98403.8,21741.45,22.094,-14719.0,Take Profit
8,TSLA,Closed,2010-04-26,9.62,241,11.92,10298.0,99118.25,23685.4,23.896,-14725.0,Take Profit
9,TSLA,Closed,2010-05-21,8.65,506,15.44,12026.0,104076.448,81656.54,78.458,-14750.0,Take Profit
10,TSLA,Closed,2010-05-24,8.81,506,15.53,11323.0,99787.976,76090.56,76.252,-14753.0,Take Profit
11,TSLA,Closed,2010-05-25,8.76,506,15.48,11698.0,102449.415,78610.56,76.731,-14754.0,Take Profit
12,TSLA,Closed,2010-06-17,9.71,374,13.21,10347.0,100465.68,36214.5,36.047,-14777.0,Take Profit
13,TSLA,Closed,2010-06-29,9.15,248,12.41,10601.0,96987.793,34559.26,35.633,-14789.0,Take Profit
14,TSLA,Closed,2010-07-14,9.03,373,13.02,11227.0,101335.695,44795.73,44.205,-14804.0,Take Profit
15,TSLA,Closed,2010-07-15,8.98,374,13.15,11279.0,101289.449,47033.43,46.435,-14805.0,Take Profit
16,TSLA,Closed,2010-07-20,9.0,376,13.54,11527.0,103697.709,52332.58,50.466,-14810.0,Take Profit
17,TSLA,Closed,2010-08-02,9.35,270,12.91,10751.0,100541.048,38273.56,38.068,-14823.0,Take Profit
18,TSLA,Closed,2010-08-09,9.35,240,11.79,10708.0,100100.677,26127.52,26.101,-14830.0,Take Profit
19,TSLA,Closed,2010-09-13,9.54,243,11.98,10533.0,100454.725,25700.52,25.584,-14865.0,Take Profit
20,TSLA,Closed,2010-09-15,9.65,241,11.9,10441.0,100763.104,23492.25,23.314,-14867.0,Take Profit
21,TSLA,Closed,2010-09-27,10.4,269,12.83,9524.0,99035.99,23143.32,23.369,-14879.0,Take Profit
22,TSLA,Closed,2011-03-03,12.84,506,15.65,7838.0,100651.119,22024.78,21.882,-15036.0,Take Profit
23,TSLA,Closed,2011-03-22,12.19,506,15.75,8173.0,99593.839,29095.88,29.215,-15055.0,Take Profit
24,TSLA,Closed,2011-04-08,11.97,437,14.8,8237.0,98567.474,23310.71,23.649,-15072.0,Take Profit
25,TSLA,Closed,2011-05-09,12.41,437,15.04,8049.0,99922.585,21168.87,21.185,-15103.0,Take Profit
26,TSLA,Closed,2011-11-15,13.89,519,17.74,7352.0,102095.654,28305.2,27.724,-15293.0,Take Profit
27,TSLA,Closed,2011-11-21,13.18,517,17.08,7559.0,99619.527,29480.1,29.593,-15299.0,Take Profit
28,TSLA,Closed,2011-11-23,13.11,517,17.11,7476.0,97986.33,29904.0,30.519,-15301.0,Take Profit
29,TSLA,Closed,2011-11-29,13.33,519,17.65,7449.0,99284.528,32179.68,32.412,-15307.0,Take Profit
30,TSLA,Closed,2011-12-07,13.9,517,17.4,7180.0,99773.793,25130.0,25.187,-15315.0,Take Profit
31,TSLA,Closed,2011-12-09,14.06,517,17.33,7127.0,100190.344,23305.29,23.261,-15317.0,Take Profit
32,TSLA,Closed,2011-12-13,13.89,517,17.16,7124.0,98924.371,23295.48,23.549,-15321.0,Take Profit
33,TSLA,Closed,2012-01-11,15.09,518,17.62,6624.0,99963.255,16758.72,16.765,-15350.0,Take Profit
34,TSLA,Closed,2012-01-20,15.01,517,17.32,6549.0,98305.163,15128.19,15.389,-15359.0,Take Profit
35,TSLA,Closed,2012-01-24,15.01,517,17.53,6586.0,98886.437,16596.72,16.784,-15363.0,Take Profit
36,TSLA,Closed,2012-01-25,15.95,528,18.67,6161.0,98281.151,16757.92,17.051,-15364.0,Take Profit
37,TSLA,Closed,2012-01-30,16.18,529,19.01,6282.0,101636.028,17778.06,17.492,-15369.0,Take Profit
38,TSLA,Closed,2012-02-10,17.62,543,21.28,5703.0,100499.08,20872.98,20.769,-15380.0,Take Profit
39,TSLA,Closed,2012-02-13,17.95,548,21.66,5605.0,100609.754,20794.55,20.669,-15383.0,Take Profit
40,TSLA,Closed,2012-02-15,17.77,554,22.27,5444.0,96761.273,24498.0,25.318,-15385.0,Take Profit
41,TSLA,Closed,2012-02-16,17.94,649,22.95,5696.0,102163.863,28536.96,27.933,-15386.0,Take Profit
