,Equity Name,Trade,Entry Time,Entry Price,Exit Time,Exit Price,Quantity,Position Size,PNL,% PNL,Holding Days,Exit Type
0,TSLA,Closed,2010-05-21,8.65,2012-01-25,15.44,12026.0,104076.448,81656.54,78.458,614,Take Profit
1,TSLA,Closed,2011-10-14,15.07,2012-03-19,21.37,6717.0,101234.79,42317.1,41.801,157,Take Profit
2,TSLA,Closed,2013-04-04,15.28,2014-04-28,20.43,6455.0,98604.733,33243.25,33.714,389,Take Profit
3,TSLA,Closed,2013-08-21,17.94,2014-06-05,23.1,5560.0,99754.346,28689.6,28.76,288,Take Profit
4,TSLA,Closed,2013-11-19,18.56,2014-05-29,22.42,5394.0,100087.596,20820.84,20.803,191,Take Profit
5,TSLA,Closed,2013-12-05,20.28,2014-07-28,24.71,4889.0,99159.395,21658.27,21.842,235,Take Profit
6,TSLA,Closed,2014-07-31,23.9,2015-02-10,29.99,4116.0,98372.398,25066.44,25.481,194,Take Profit
7,TSLA,Closed,2014-09-05,24.74,2015-02-10,30.19,4048.0,100157.641,22061.6,22.027,158,Take Profit
8,TSLA,Closed,2014-09-12,25.42,2015-02-23,33.13,3952.0,100440.084,30469.92,30.336,164,Take Profit
9,TSLA,Closed,2015-05-13,31.5,2016-01-27,23.41,3170.0,99862.927,-25645.3,-25.681,259,Stop Loss
10,TSLA,Closed,2015-12-07,29.57,2016-01-27,23.37,3361.0,99384.769,-20838.2,-20.967,51,Stop Loss
11,TSLA,Closed,2016-07-21,24.86,2016-09-15,28.79,4006.0,99579.145,15743.58,15.81,56,Take Profit
12,TSLA,Closed,2016-09-19,28.4,2017-03-28,35.85,3472.0,98587.442,25866.4,26.237,190,Take Profit
13,TSLA,Closed,2016-09-20,28.39,2017-03-29,36.01,3538.0,100452.665,26959.56,26.838,190,Take Profit
14,TSLA,Closed,2016-09-23,28.18,2017-05-01,36.45,3495.0,98480.362,28903.65,29.35,220,Take Profit
15,TSLA,Closed,2016-10-27,28.62,2017-03-01,34.49,3466.0,99196.923,20345.42,20.51,125,Take Profit
16,TSLA,Closed,2016-11-04,27.21,2017-02-14,33.52,3685.0,100268.847,23252.35,23.19,102,Take Profit
